"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
719,127,"LBR","Liberia",12,"Nimba","","","County","County"
720,127,"LBR","Liberia",13,"River Cess","","Rivercess","County","County"
721,127,"LBR","Liberia",14,"River Gee","","","County","County"
722,127,"LBR","Liberia",15,"Sinoe","","","County","County"
1785,127,"LBR","Liberia",1,"Bomi","","","County","County"
1786,127,"LBR","Liberia",2,"Bong","","","County","County"
1787,127,"LBR","Liberia",3,"Gbapolu","","Gbarpolu","County","County"
1788,127,"LBR","Liberia",4,"Grand Cape Mount","","","County","County"
1789,127,"LBR","Liberia",5,"GrandBassa","","Grand Bassa","County","County"
1790,127,"LBR","Liberia",6,"GrandGedeh","","Grand Gedeh","County","County"
1791,127,"LBR","Liberia",7,"GrandKru","","Grand Kru","County","County"
1792,127,"LBR","Liberia",8,"Lofa","","","County","County"
1793,127,"LBR","Liberia",9,"Margibi","","","County","County"
1794,127,"LBR","Liberia",10,"Maryland","","","County","County"
1795,127,"LBR","Liberia",11,"Montserrado","","","County","County"
