"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21004,127,"LBR","Liberia",1,"Bomi",1,"Klay","","","District","District"
21005,127,"LBR","Liberia",1,"Bomi",2,"Mecca","","","District","District"
21006,127,"LBR","Liberia",2,"Bong",3,"Fuamah","","","District","District"
21007,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh","","","District","District"
21008,127,"LBR","Liberia",2,"Bong",5,"Kokoyah","","","District","District"
21009,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa","","","District","District"
21010,127,"LBR","Liberia",2,"Bong",7,"Salala","","","District","District"
21011,127,"LBR","Liberia",2,"Bong",8,"Sanayea","","","District","District"
21012,127,"LBR","Liberia",2,"Bong",9,"Suakoko","","","District","District"
21013,127,"LBR","Liberia",2,"Bong",10,"Zota","","","District","District"
21014,127,"LBR","Liberia",3,"Gbapolu",11,"Belleh","","","District","District"
21015,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu","","","District","District"
21016,127,"LBR","Liberia",3,"Gbapolu",13,"Bopolu","","","District","District"
21017,127,"LBR","Liberia",3,"Gbapolu",14,"Gbarma","","","District","District"
21018,127,"LBR","Liberia",3,"Gbapolu",15,"Kongba","","","District","District"
21019,127,"LBR","Liberia",4,"Grand Cape Mount",16,"Commnwealth","","","District","District"
21020,127,"LBR","Liberia",4,"Grand Cape Mount",17,"Garwula","","","District","District"
21021,127,"LBR","Liberia",4,"Grand Cape Mount",18,"Golakonneh","","","District","District"
21022,127,"LBR","Liberia",4,"Grand Cape Mount",19,"Porkpa","","","District","District"
21023,127,"LBR","Liberia",4,"Grand Cape Mount",20,"Tewor","","","District","District"
21024,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1","","","District","District"
21025,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2","","","District","District"
21026,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3","","","District","District"
21027,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4","","","District","District"
21028,127,"LBR","Liberia",5,"GrandBassa",25,"Owensgrove","","","District","District"
21029,127,"LBR","Liberia",5,"GrandBassa",26,"Stjohnriver","","","District","District"
21030,127,"LBR","Liberia",6,"GrandGedeh",27,"Gbarzon","","","District","District"
21031,127,"LBR","Liberia",6,"GrandGedeh",28,"Konobo","","","District","District"
21032,127,"LBR","Liberia",6,"GrandGedeh",29,"Tchien","","","District","District"
21033,127,"LBR","Liberia",7,"GrandKru",30,"Buah","","","District","District"
21034,127,"LBR","Liberia",7,"GrandKru",31,"Lower Kru Coast","","","District","District"
21035,127,"LBR","Liberia",7,"GrandKru",32,"Sasstown 180606","","","District","District"
21036,127,"LBR","Liberia",7,"GrandKru",33,"Upperkrucoast","","","District","District"
21037,127,"LBR","Liberia",8,"Lofa",34,"Foya","","","District","District"
21038,127,"LBR","Liberia",8,"Lofa",35,"Kolahun","","","District","District"
21039,127,"LBR","Liberia",8,"Lofa",36,"Lower Kru Coast","","","District","District"
21040,127,"LBR","Liberia",8,"Lofa",37,"Salayea","","","District","District"
21041,127,"LBR","Liberia",8,"Lofa",38,"Voinjama","","","District","District"
21042,127,"LBR","Liberia",8,"Lofa",39,"Zorzor","","","District","District"
21043,127,"LBR","Liberia",9,"Margibi",40,"Firestone","","","District","District"
21044,127,"LBR","Liberia",9,"Margibi",41,"Gibi","","","District","District"
21045,127,"LBR","Liberia",9,"Margibi",42,"Kakata","","","District","District"
21046,127,"LBR","Liberia",9,"Margibi",43,"Mambah-Kaba","","","District","District"
21047,127,"LBR","Liberia",10,"Maryland",44,"Barrobo","","","District","District"
21048,127,"LBR","Liberia",10,"Maryland",45,"Pleebo/Sodeken","","","District","District"
21049,127,"LBR","Liberia",11,"Montserrado",46,"Careysburg","","","District","District"
21050,127,"LBR","Liberia",11,"Montserrado",47,"Greater Monrovia","","","District","District"
21051,127,"LBR","Liberia",11,"Montserrado",48,"St Paul River","","","District","District"
21052,127,"LBR","Liberia",11,"Montserrado",49,"Todee","","","District","District"
21053,127,"LBR","Liberia",12,"Nimba",50,"Gbehlageh","","","District","District"
21054,127,"LBR","Liberia",12,"Nimba",51,"Saclepea","","","District","District"
21055,127,"LBR","Liberia",12,"Nimba",52,"Sanniquelleh-Mahn","","","District","District"
21056,127,"LBR","Liberia",12,"Nimba",53,"Tappita","","","District","District"
21057,127,"LBR","Liberia",12,"Nimba",54,"Yarwein-Mehnsohnne","","","District","District"
21058,127,"LBR","Liberia",12,"Nimba",55,"Zoegeh","","","District","District"
21059,127,"LBR","Liberia",13,"River Cess",56,"Morweh","","","District","District"
21060,127,"LBR","Liberia",13,"River Cess",57,"Timbo","","","District","District"
21061,127,"LBR","Liberia",14,"River Gee",58,"Gbeapo","","","District","District"
21062,127,"LBR","Liberia",14,"River Gee",59,"Webbo","","","District","District"
21063,127,"LBR","Liberia",15,"Sinoe",60,"Butaw","","","District","District"
21064,127,"LBR","Liberia",15,"Sinoe",61,"Dugbe River","","","District","District"
21065,127,"LBR","Liberia",15,"Sinoe",62,"Greenville","","","District","District"
21066,127,"LBR","Liberia",15,"Sinoe",63,"Jaedae Jaedepo","","","District","District"
21067,127,"LBR","Liberia",15,"Sinoe",64,"Juarzon","","","District","District"
21068,127,"LBR","Liberia",15,"Sinoe",65,"Kpayan","","","District","District"
21069,127,"LBR","Liberia",15,"Sinoe",66,"Pyneston","","","District","District"
