"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43235,127,"LBR","Liberia",1,"Bomi",1,"Klay",1,"Blugban","","","Clan","Clan"
43236,127,"LBR","Liberia",1,"Bomi",1,"Klay",2,"Dey-Gbo","","","Clan","Clan"
43237,127,"LBR","Liberia",1,"Bomi",1,"Klay",3,"Gbarvon","","","Clan","Clan"
43238,127,"LBR","Liberia",1,"Bomi",1,"Klay",4,"Gbojey","","","Clan","Clan"
43239,127,"LBR","Liberia",1,"Bomi",1,"Klay",5,"Gbor","","","Clan","Clan"
43240,127,"LBR","Liberia",1,"Bomi",1,"Klay",6,"Gorblah","","","Clan","Clan"
43241,127,"LBR","Liberia",1,"Bomi",1,"Klay",7,"Kpo","","","Clan","Clan"
43242,127,"LBR","Liberia",1,"Bomi",1,"Klay",8,"Lower Zor","","","Clan","Clan"
43243,127,"LBR","Liberia",1,"Bomi",1,"Klay",9,"Manna","","","Clan","Clan"
43244,127,"LBR","Liberia",1,"Bomi",1,"Klay",10,"Senjeh","","","Clan","Clan"
43245,127,"LBR","Liberia",1,"Bomi",1,"Klay",11,"Tehr","","","Clan","Clan"
43246,127,"LBR","Liberia",1,"Bomi",1,"Klay",12,"Upper Zor","","","Clan","Clan"
43247,127,"LBR","Liberia",1,"Bomi",2,"Mecca",13,"Lower Mecca","","","Clan","Clan"
43248,127,"LBR","Liberia",1,"Bomi",2,"Mecca",14,"Upper Mecca","","","Clan","Clan"
43249,127,"LBR","Liberia",2,"Bong",3,"Fuamah",15,"Bubli","","","Clan","Clan"
43250,127,"LBR","Liberia",2,"Bong",3,"Fuamah",16,"Lorlah","","","Clan","Clan"
43251,127,"LBR","Liberia",2,"Bong",3,"Fuamah",17,"Yarbayon","","","Clan","Clan"
43252,127,"LBR","Liberia",2,"Bong",3,"Fuamah",18,"Zarwakuma","","","Clan","Clan"
43253,127,"LBR","Liberia",2,"Bong",3,"Fuamah",19,"Zuluzaryea","","","Clan","Clan"
43254,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh",20,"Bellequelleh","","","Clan","Clan"
43255,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh",21,"Gbarnshay","","","Clan","Clan"
43256,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh",22,"Jorpoo","","","Clan","Clan"
43257,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh",23,"Jorquelleh","","","Clan","Clan"
43258,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh",24,"Sheansuie","","","Clan","Clan"
43259,127,"LBR","Liberia",2,"Bong",5,"Kokoyah",25,"Bonwein","","","Clan","Clan"
43260,127,"LBR","Liberia",2,"Bong",5,"Kokoyah",26,"Kokoyah","","","Clan","Clan"
43261,127,"LBR","Liberia",2,"Bong",5,"Kokoyah",27,"Senwein","","","Clan","Clan"
43262,127,"LBR","Liberia",2,"Bong",5,"Kokoyah",28,"Tukpablee","","","Clan","Clan"
43263,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa",29,"Panta","","","Clan","Clan"
43264,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa",30,"Waytua","","","Clan","Clan"
43265,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa",31,"Wolota","","","Clan","Clan"
43266,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa",32,"Wrunah","","","Clan","Clan"
43267,127,"LBR","Liberia",2,"Bong",7,"Salala",33,"Konowulala","","","Clan","Clan"
43268,127,"LBR","Liberia",2,"Bong",7,"Salala",34,"Konoyea","","","Clan","Clan"
43269,127,"LBR","Liberia",2,"Bong",7,"Salala",35,"Kpartolor","","","Clan","Clan"
43270,127,"LBR","Liberia",2,"Bong",7,"Salala",36,"Nyanforquelleh","","","Clan","Clan"
43271,127,"LBR","Liberia",2,"Bong",8,"Sanayea",37,"Bonkomu","","","Clan","Clan"
43272,127,"LBR","Liberia",2,"Bong",8,"Sanayea",38,"Boryermah","","","Clan","Clan"
43273,127,"LBR","Liberia",2,"Bong",8,"Sanayea",39,"Deingmah","","","Clan","Clan"
43274,127,"LBR","Liberia",2,"Bong",8,"Sanayea",40,"Menquelleh","","","Clan","Clan"
43275,127,"LBR","Liberia",2,"Bong",8,"Sanayea",41,"Sanoyea","","","Clan","Clan"
43276,127,"LBR","Liberia",2,"Bong",8,"Sanayea",42,"Wallahun","","","Clan","Clan"
43277,127,"LBR","Liberia",2,"Bong",9,"Suakoko",43,"Garyea","","","Clan","Clan"
43278,127,"LBR","Liberia",2,"Bong",9,"Suakoko",44,"Kpatawee","","","Clan","Clan"
43279,127,"LBR","Liberia",2,"Bong",9,"Suakoko",45,"Kpoyorquelleh","","","Clan","Clan"
43280,127,"LBR","Liberia",2,"Bong",9,"Suakoko",46,"Myeinbedewein","","","Clan","Clan"
43281,127,"LBR","Liberia",2,"Bong",9,"Suakoko",47,"Suakoko","","","Clan","Clan"
43282,127,"LBR","Liberia",2,"Bong",9,"Suakoko",48,"Togbeyah","","","Clan","Clan"
43283,127,"LBR","Liberia",2,"Bong",9,"Suakoko",49,"Zeansue","","","Clan","Clan"
43284,127,"LBR","Liberia",2,"Bong",10,"Zota",50,"Gwilapolu","","","Clan","Clan"
43285,127,"LBR","Liberia",2,"Bong",10,"Zota",51,"Lower Kpaquelleh","","","Clan","Clan"
43286,127,"LBR","Liberia",2,"Bong",10,"Zota",52,"Upper Kpaquelleh","","","Clan","Clan"
43287,127,"LBR","Liberia",2,"Bong",10,"Zota",53,"Zota","","","Clan","Clan"
43288,127,"LBR","Liberia",3,"Gbapolu",11,"Belleh",54,"Bartee","","","Clan","Clan"
43289,127,"LBR","Liberia",3,"Gbapolu",11,"Belleh",55,"Lobaizue","","","Clan","Clan"
43290,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu",56,"Gbarlin","","","Clan","Clan"
43291,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu",57,"Goe","","","Clan","Clan"
43292,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu",58,"Lower Bokomu","","","Clan","Clan"
43293,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu",59,"Upper Bokomu","","","Clan","Clan"
43294,127,"LBR","Liberia",3,"Gbapolu",13,"Bopolu",60,"Bondi-Mandingo","","","Clan","Clan"
43295,127,"LBR","Liberia",3,"Gbapolu",13,"Bopolu",61,"Gungbeyah","","","Clan","Clan"
43296,127,"LBR","Liberia",3,"Gbapolu",13,"Bopolu",62,"Tawalata","","","Clan","Clan"
43297,127,"LBR","Liberia",3,"Gbapolu",14,"Gbarma",63,"Gbarma","","","Clan","Clan"
43298,127,"LBR","Liberia",3,"Gbapolu",14,"Gbarma",64,"Yangayah","","","Clan","Clan"
43299,127,"LBR","Liberia",3,"Gbapolu",15,"Kongba",65,"Jawejeh","","","Clan","Clan"
43300,127,"LBR","Liberia",3,"Gbapolu",15,"Kongba",66,"Zuie","","","Clan","Clan"
43301,127,"LBR","Liberia",4,"Grand Cape Mount",16,"Commnwealth",67,"Robertsport","","","Clan","Clan"
43302,127,"LBR","Liberia",4,"Grand Cape Mount",17,"Garwula",68,"Lower Garwula","","","Clan","Clan"
43303,127,"LBR","Liberia",4,"Grand Cape Mount",17,"Garwula",69,"Upper Garwula","","","Clan","Clan"
43304,127,"LBR","Liberia",4,"Grand Cape Mount",18,"Golakonneh",70,"Darblo","","","Clan","Clan"
43305,127,"LBR","Liberia",4,"Grand Cape Mount",18,"Golakonneh",71,"Laa","","","Clan","Clan"
43306,127,"LBR","Liberia",4,"Grand Cape Mount",18,"Golakonneh",72,"Manna","","","Clan","Clan"
43307,127,"LBR","Liberia",4,"Grand Cape Mount",19,"Porkpa",73,"Kposo","","","Clan","Clan"
43308,127,"LBR","Liberia",4,"Grand Cape Mount",19,"Porkpa",74,"Seimavolah","","","Clan","Clan"
43309,127,"LBR","Liberia",4,"Grand Cape Mount",19,"Porkpa",75,"Sokpa","","","Clan","Clan"
43310,127,"LBR","Liberia",4,"Grand Cape Mount",20,"Tewor",76,"Fahnbulleh","","","Clan","Clan"
43311,127,"LBR","Liberia",4,"Grand Cape Mount",20,"Tewor",77,"Paasawee","","","Clan","Clan"
43312,127,"LBR","Liberia",4,"Grand Cape Mount",20,"Tewor",78,"Sambola","","","Clan","Clan"
43313,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",79,"Doe","","","Clan","Clan"
43314,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",80,"Mehn","","","Clan","Clan"
43315,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",81,"Mehwein","","","Clan","Clan"
43316,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",82,"Nyanniwein","","","Clan","Clan"
43317,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",83,"Quetroyah","","","Clan","Clan"
43318,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",84,"Saywhien","","","Clan","Clan"
43319,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",85,"Sonniwein","","","Clan","Clan"
43320,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1",86,"Whenzohn","","","Clan","Clan"
43321,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",87,"Boeglahn","","","Clan","Clan"
43322,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",88,"Chan","","","Clan","Clan"
43323,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",89,"Ediana","","","Clan","Clan"
43324,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",90,"Gbor","","","Clan","Clan"
43325,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",91,"Gogowein","","","Clan","Clan"
43326,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",92,"Hoegban","","","Clan","Clan"
43327,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",93,"Karblee","","","Clan","Clan"
43328,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2",94,"Marblee","","","Clan","Clan"
43329,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",95,"Buchanan City","","","Clan","Clan"
43330,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",96,"Dorzohn","","","Clan","Clan"
43331,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",97,"Gborngbo","","","Clan","Clan"
43332,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",98,"Gorblee","","","Clan","Clan"
43333,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",99,"Harlandsville Township","","","Clan","Clan"
43334,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",100,"Harmonville","","","Clan","Clan"
43335,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",101,"Hoegbahn","","","Clan","Clan"
43336,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",102,"Manlai","","","Clan","Clan"
43337,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",103,"Neekree","","","Clan","Clan"
43338,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",104,"Peter Harris","","","Clan","Clan"
43339,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",105,"Tubmanvilletship","","","Clan","Clan"
43340,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",106,"Vambo","","","Clan","Clan"
43341,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3",107,"Zeewein","","","Clan","Clan"
43342,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4",108,"Gainda/Ganna","","","Clan","Clan"
43343,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4",109,"Grand Cola","","","Clan","Clan"
43344,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4",110,"Little Cola","","","Clan","Clan"
43345,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4",111,"Neepu/Doe-Gbahn","","","Clan","Clan"
43346,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4",112,"Newcess","","","Clan","Clan"
43347,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4",113,"Trade Town","","","Clan","Clan"
43348,127,"LBR","Liberia",5,"GrandBassa",25,"Owensgrove",114,"Bassa point","","","Clan","Clan"
